BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
24,82.76,5,17.24,29,8,6,27.59,75.0,06436,Main-Taunus-Kreis,,2
34,59.65,23,40.35,57,2,1,3.51,50.0,15082,Anhalt-Bitterfeld,,3
17,77.27,5,22.73,22,0,0,0.0,0.0,16073,Saalfeld-Rudolstadt,,1
14,60.87,9,39.13,23,7,7,30.43,100.0,09190,Weilheim-Schongau,,3
13,72.22,5,27.78,18,2,2,11.11,100.0,12072,Teltow-Fläming,,2
10,90.91,1,9.09,11,5,3,45.45,60.0,09278,Straubing-Bogen,,2
28,63.64,16,36.36,44,5,4,11.36,80.0,08415,Reutlingen,,3
23,50.0,23,50.0,46,9,7,19.57,77.78,08117,Göppingen,,5
10,76.92,3,23.08,13,2,1,15.38,50.0,09776,Lindau (Bodensee),,2
32,84.21,6,15.79,38,5,5,13.16,100.0,15089,Salzlandkreis,,4
21,77.78,6,22.22,27,2,0,7.41,0.0,06535,Vogelsbergkreis,,4
24,75.0,8,25.0,32,5,4,15.63,80.0,03453,Cloppenburg,,3
36,81.82,8,18.18,44,0,0,0.0,0.0,01051,Dithmarschen,,1
87,82.86,18,17.14,105,11,8,10.48,72.73,03403,"Oldenburg (Oldenburg), Stadt",,5
61,79.22,16,20.78,77,2,2,2.6,100.0,16063,Wartburgkreis,,3
54,80.6,13,19.4,67,32,17,47.76,53.13,14625,Bautzen,,7
26,63.41,15,36.59,41,2,2,4.88,100.0,12065,Oberhavel,,5
12,63.16,7,36.84,19,1,0,5.26,0.0,16067,Gotha,,2
10,71.43,4,28.57,14,0,0,0.0,0.0,12070,Prignitz,,2
106,75.71,34,24.29,140,10,8,7.14,80.0,05970,Siegen-Wittgenstein,,8
