BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
58,79.45,15,20.55,73,1,1,1.37,100,08231,"Pforzheim, Stadtkreis",null,4
19,59.38,13,40.63,32,0,0,0,0,08235,Calw,null,3
10,83.33,2,16.67,12,0,0,0,0,08236,Enzkreis,null,2
9,64.29,5,35.71,14,0,0,0,0,08237,Freudenstadt,null,1
174,86.14,28,13.86,202,4,1,1.98,25,08311,"Freiburg im Breisgau, Stadtkreis",null,7
47,58.75,33,41.25,80,0,0,0,0,08315,Breisgau-Hochschwarzwald,null,4
88,96.7,3,3.3,91,0,0,0,0,08316,Emmendingen,null,3
69,65.71,36,34.29,105,1,1,0.95,100,08317,Ortenaukreis,null,8
12,75,4,25,16,1,0,6.25,0,08325,Rottweil,null,2
57,74.03,20,25.97,77,4,2,5.19,50,08326,Schwarzwald-Baar-Kreis,null,6
8,66.67,4,33.33,12,0,0,0,0,08327,Tuttlingen,null,1
76,73.79,27,26.21,103,0,0,0,0,08335,Konstanz,null,10
29,85.29,5,14.71,34,0,0,0,0,08336,Lörrach,null,2
12,50,12,50,24,0,0,0,0,08337,Waldshut,null,2
35,76.09,11,23.91,46,0,0,0,0,08415,Reutlingen,null,3
100,88.5,13,11.5,113,0,0,0,0,08416,Tübingen,null,5
25,89.29,3,10.71,28,0,0,0,0,08417,Zollernalbkreis,null,1
101,64.74,55,35.26,156,2,1,1.28,50,08421,"Ulm, Stadtkreis",null,5
12,75,4,25,16,1,0,6.25,0,08425,Alb-Donau-Kreis,null,2
14,100,0,0,14,0,0,0,0,08426,Biberach,null,1
28,37.33,47,62.67,75,2,0,2.67,0,08435,Bodenseekreis,null,5
56,77.78,16,22.22,72,1,1,1.39,100,08436,Ravensburg,null,6
11,57.89,8,42.11,19,0,0,0,0,08437,Sigmaringen,null,2
40,86.96,6,13.04,46,0,0,0,0,09161,Ingolstadt,null,2
532,84.44,98,15.56,630,13,7,2.06,53.85,09162,"München, Landeshauptstadt",null,35
26,83.87,5,16.13,31,1,0,3.23,0,09163,Rosenheim,null,1
26,89.66,3,10.34,29,0,0,0,0,09171,Altötting,null,3
18,94.74,1,5.26,19,0,0,0,0,09172,Berchtesgadener Land,null,3
26,92.86,2,7.14,28,0,0,0,0,09173,Bad Tölz-Wolfratshausen,null,2
30,100,0,0,30,1,0,3.33,0,09174,Dachau,null,1
14,70,6,30,20,1,1,5,100,09175,Ebersberg,null,1
48,78.69,13,21.31,61,0,0,0,0,09176,Eichstätt,null,3
16,69.57,7,30.43,23,0,0,0,0,09177,Erding,null,1
14,70,6,30,20,0,0,0,0,09178,Freising,null,1
8,53.33,7,46.67,15,0,0,0,0,09179,Fürstenfeldbruck,null,1
