BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
18,85.71,3,14.29,21,2,2,9.52,100.0,09175,Ebersberg,,1
26,96.3,1,3.7,27,4,0,14.81,0.0,10043,Neunkirchen,,3
13,81.25,3,18.75,16,3,0,18.75,0.0,16055,"Weimar, Stadt",,1
34,79.07,9,20.93,43,13,9,30.23,69.23,05378,Rheinisch-Bergischer Kreis,,4
63,76.83,19,23.17,82,12,6,14.63,50.0,08317,Ortenaukreis,,6
13,86.67,2,13.33,15,2,0,13.33,0.0,07131,Ahrweiler,,2
70,78.65,19,21.35,89,5,3,5.62,60.0,01060,Segeberg,,4
13,81.25,3,18.75,16,2,2,12.5,100.0,03158,Wolfenbüttel,,1
28,87.5,4,12.5,32,7,2,21.88,28.57,03405,"Wilhelmshaven, Stadt",,1
22,91.67,2,8.33,24,6,5,25.0,83.33,09779,Donau-Ries,,3
118,88.72,15,11.28,133,20,5,15.04,25.0,09673,Rhön-Grabfeld,,1
6,100.0,0,0.0,6,1,1,16.67,100.0,16069,Hildburghausen,,1
11,91.67,1,8.33,12,4,4,33.33,100.0,16076,Greiz,,1
99,77.95,28,22.05,127,26,17,20.47,65.38,08421,"Ulm, Stadtkreis",,3
174,92.55,14,7.45,188,22,20,11.7,90.91,15003,"Magdeburg, Landeshauptstadt",,6
6,85.71,1,14.29,7,4,3,57.14,75.0,08126,Hohenlohekreis,,1
14,93.33,1,6.67,15,6,4,40.0,66.67,12053,"Frankfurt (Oder), Stadt",,1
15,78.95,4,21.05,19,4,0,21.05,0.0,12063,Havelland,,2
12,85.71,2,14.29,14,1,1,7.14,100.0,09476,Kronach,,1
7,87.5,1,12.5,8,0,0,0.0,0.0,09186,Pfaffenhofen a.d.Ilm,,1
21,80.77,5,19.23,26,4,1,15.38,25.0,12064,Märkisch-Oderland,,3
501,88.67,64,11.33,565,99,60,17.52,60.61,02000,"Hamburg, Freie und Hansestadt",,24
32,100.0,0,0.0,32,15,8,46.88,53.33,15091,Wittenberg,,2
10,76.92,3,23.08,13,2,0,15.38,0.0,07135,Cochem-Zell,,2
31,91.18,3,8.82,34,5,2,14.71,40.0,05117,"Mülheim an der Ruhr, Stadt",,2
24,92.31,2,7.69,26,1,1,3.85,100.0,03460,Vechta,,3
16,66.67,8,33.33,24,4,3,16.67,75.0,16054,"Suhl, Stadt",,1
21,100.0,0,0.0,21,9,2,42.86,22.22,06433,Groß-Gerau,,2
77,88.51,10,11.49,87,14,8,16.09,57.14,05116,"Mönchengladbach, Stadt",,4
27,81.82,6,18.18,33,3,3,9.09,100.0,03451,Ammerland,,3
68,89.47,8,10.53,76,19,5,25.0,26.32,13071,Mecklenburgische Seenplatte,,5
8,88.89,1,11.11,9,1,1,11.11,100.0,09674,Haßberge,,2
148,84.09,28,15.91,176,45,21,25.57,46.67,10041,Regionalverband Saarbrücken,,7
20,71.43,8,28.57,28,1,0,3.57,0.0,05558,Coesfeld,,3
42,77.78,12,22.22,54,17,12,31.48,70.59,06533,Limburg-Weilburg,,4
6,100.0,0,0.0,6,4,1,66.67,25.0,09274,Landshut,,1
107,78.68,29,21.32,136,10,6,7.35,60.0,01003,"Lübeck, Hansestadt",,2
38,76.0,12,24.0,50,7,6,14.0,85.71,08128,Main-Tauber-Kreis,,3
32,96.97,1,3.03,33,11,6,33.33,54.55,03153,Goslar,,3
29,87.88,4,12.12,33,0,0,0.0,0.0,16056,"Eisenach, Stadt",,1
85,82.52,18,17.48,103,12,8,11.65,66.67,03404,"Osnabrück, Stadt",,3
53,89.83,6,10.17,59,17,9,28.81,52.94,12051,"Brandenburg an der Havel, Stadt",,2
39,82.98,8,17.02,47,2,2,4.26,100.0,09478,Lichtenfels,,3
40,85.11,7,14.89,47,4,4,8.51,100.0,09774,Günzburg,,4
46,73.02,17,26.98,63,15,8,23.81,53.33,12067,Oder-Spree,,3
34,85.0,6,15.0,40,6,3,15.0,50.0,05512,"Bottrop, Stadt",,2
15,100.0,0,0.0,15,2,1,13.33,50.0,07311,"Frankenthal (Pfalz), kreisfreie Stadt",,1
122,86.52,19,13.48,141,15,11,10.64,73.33,05124,"Wuppertal, Stadt",,5
9,69.23,4,30.77,13,1,0,7.69,0.0,03356,Osterholz,,3
