BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
82,67.21,40,32.79,122,0,0,0,0,06635,Waldeck-Frankenberg,null,7
26,59.09,18,40.91,44,0,0,0,0,06636,Werra-Meißner-Kreis,null,3
78,56.52,60,43.48,138,1,1,0.72,100,07111,"Koblenz, kreisfreie Stadt",null,6
15,57.69,11,42.31,26,1,0,3.85,0,07131,Ahrweiler,null,2
12,80,3,20,15,2,1,13.33,50,07132,Altenkirchen (Westerwald),null,2
31,56.36,24,43.64,55,0,0,0,0,07133,Bad Kreuznach,null,6
17,77.27,5,22.73,22,0,0,0,0,07134,Birkenfeld,null,2
5,38.46,8,61.54,13,0,0,0,0,07135,Cochem-Zell,null,2
24,52.17,22,47.83,46,1,0,2.17,0,07137,Mayen-Koblenz,null,4
56,63.64,32,36.36,88,0,0,0,0,07138,Neuwied,null,7
8,57.14,6,42.86,14,0,0,0,0,07140,Rhein-Hunsrück-Kreis,null,2
25,54.35,21,45.65,46,0,0,0,0,07141,Rhein-Lahn-Kreis,null,5
29,70.73,12,29.27,41,1,0,2.44,0,07143,Westerwaldkreis,null,4
88,69.29,39,30.71,127,2,1,1.57,50,07211,"Trier, kreisfreie Stadt",null,6
13,54.17,11,45.83,24,0,0,0,0,07231,Bernkastel-Wittlich,null,2
12,70.59,5,29.41,17,0,0,0,0,07232,Eifelkreis Bitburg-Prüm,null,2
12,57.14,9,42.86,21,2,1,9.52,50,07233,Vulkaneifel,null,2
10,62.5,6,37.5,16,0,0,0,0,07235,Trier-Saarburg,null,2
15,68.18,7,31.82,22,0,0,0,0,07311,"Frankenthal (Pfalz), kreisfreie Stadt",null,1
119,70.41,50,29.59,169,0,0,0,0,07312,"Kaiserslautern, kreisfreie Stadt",null,3
18,62.07,11,37.93,29,0,0,0,0,07313,"Landau in der Pfalz, kreisfreie Stadt",null,3
83,68.6,38,31.4,121,1,1,0.83,100,07314,"Ludwigshafen am Rhein, kreisfreie Stadt",null,6
