BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
83,68.6,38,31.4,121,1,0,0.83,0,07314,"Ludwigshafen am Rhein, kreisfreie Stadt",null,6
85,75.22,28,24.78,113,0,0,0,0,07315,"Mainz, kreisfreie Stadt",null,2
11,52.38,10,47.62,21,0,0,0,0,07316,"Neustadt an der Weinstraße, kreisfreie Stadt",null,1
10,62.5,6,37.5,16,0,0,0,0,07317,"Pirmasens, kreisfreie Stadt",null,2
27,48.21,29,51.79,56,0,0,0,0,07318,"Speyer, kreisfreie Stadt",null,3
42,87.5,6,12.5,48,0,0,0,0,07319,"Worms, kreisfreie Stadt",null,3
7,50,7,50,14,0,0,0,0,07320,"Zweibrücken, kreisfreie Stadt",null,1
3,37.5,5,62.5,8,0,0,0,0,07331,Alzey-Worms,null,1
12,75,4,25,16,0,0,0,0,07332,Bad Dürkheim,null,2
5,41.67,7,58.33,12,0,0,0,0,07333,Donnersbergkreis,null,2
18,62.07,11,37.93,29,0,0,0,0,07334,Germersheim,null,2
6,42.86,8,57.14,14,0,0,0,0,07335,Kaiserslautern,null,1
14,73.68,5,26.32,19,0,0,0,0,07336,Kusel,null,1
7,41.18,10,58.82,17,0,0,0,0,07337,Südliche Weinstraße,null,2
12,50,12,50,24,1,1,4.17,100,07339,Mainz-Bingen,null,2
3,33.33,6,66.67,9,0,0,0,0,07340,Südwestpfalz,null,1
257,80.56,62,19.44,319,7,2,2.19,28.57,08111,"Stuttgart, Stadtkreis",null,11
51,83.61,10,16.39,61,2,1,3.28,50,08115,Böblingen,null,6
58,57.43,43,42.57,101,0,0,0,0,08116,Esslingen,null,8
37,45.68,44,54.32,81,1,1,1.23,100,08117,Göppingen,null,5
104,69.8,45,30.2,149,7,6,4.7,85.71,08118,Ludwigsburg,null,5
42,68.85,19,31.15,61,1,0,1.64,0,08119,Rems-Murr-Kreis,null,4
49,59.04,34,40.96,83,1,1,1.2,100,08121,"Heilbronn, Stadtkreis",null,3
38,73.08,14,26.92,52,0,0,0,0,08125,Heilbronn,null,2
6,50,6,50,12,0,0,0,0,08126,Hohenlohekreis,null,1
41,74.55,14,25.45,55,1,0,1.82,0,08127,Schwäbisch Hall,null,4
32,39.02,50,60.98,82,0,0,0,0,08128,Main-Tauber-Kreis,null,4
21,87.5,3,12.5,24,0,0,0,0,08135,Heidenheim,null,2
57,82.61,12,17.39,69,0,0,0,0,08136,Ostalbkreis,null,8
17,65.38,9,34.62,26,0,0,0,0,08211,"Baden-Baden, Stadtkreis",null,3
120,73.17,44,26.83,164,0,0,0,0,08212,"Karlsruhe, Stadtkreis",null,6
44,91.67,4,8.33,48,1,1,2.08,100,08215,Karlsruhe,null,3
8,53.33,7,46.67,15,0,0,0,0,08216,Rastatt,null,2
244,77.71,70,22.29,314,2,0,0.64,0,08221,"Heidelberg, Stadtkreis",null,6
101,87.83,14,12.17,115,0,0,0,0,08222,"Mannheim, Stadtkreis",null,6
9,52.94,8,47.06,17,0,0,0,0,08225,Neckar-Odenwald-Kreis,null,3
34,77.27,10,22.73,44,0,0,0,0,08226,Rhein-Neckar-Kreis,null,4
47,64.38,26,35.62,73,0,0,0,0,08231,"Pforzheim, Stadtkreis",null,4
17,53.13,15,46.88,32,0,0,0,0,08235,Calw,null,3
9,60,6,40,15,0,0,0,0,08236,Enzkreis,null,2
11,78.57,3,21.43,14,0,0,0,0,08237,Freudenstadt,null,1
167,83.08,34,16.92,201,3,1,1.49,33.33,08311,"Freiburg im Breisgau, Stadtkreis",null,7
51,63.75,29,36.25,80,0,0,0,0,08315,Breisgau-Hochschwarzwald,null,4
87,94.57,5,5.43,92,0,0,0,0,08316,Emmendingen,null,3
62,59.05,43,40.95,105,0,0,0,0,08317,Ortenaukreis,null,8
9,69.23,4,30.77,13,1,1,7.69,100,08325,Rottweil,null,2
57,50.44,56,49.56,113,0,0,0,0,08326,Schwarzwald-Baar-Kreis,null,6
5,41.67,7,58.33,12,0,0,0,0,08327,Tuttlingen,null,1
82,80.39,20,19.61,102,0,0,0,0,08335,Konstanz,null,10
29,76.32,9,23.68,38,0,0,0,0,08336,Lörrach,null,2
9,37.5,15,62.5,24,0,0,0,0,08337,Waldshut,null,2
35,70,15,30,50,0,0,0,0,08415,Reutlingen,null,3
94,87.85,13,12.15,107,1,1,0.93,100,08416,Tübingen,null,5
22,78.57,6,21.43,28,0,0,0,0,08417,Zollernalbkreis,null,1
108,69.23,48,30.77,156,0,0,0,0,08421,"Ulm, Stadtkreis",null,5
6,42.86,8,57.14,14,0,0,0,0,08425,Alb-Donau-Kreis,null,2
10,71.43,4,28.57,14,0,0,0,0,08426,Biberach,null,1
29,47.54,32,52.46,61,0,0,0,0,08435,Bodenseekreis,null,3
53,73.61,19,26.39,72,0,0,0,0,08436,Ravensburg,null,6
15,78.95,4,21.05,19,0,0,0,0,08437,Sigmaringen,null,2
34,73.91,12,26.09,46,1,0,2.17,0,09161,Ingolstadt,null,2
510,79.56,131,20.44,641,12,8,1.87,66.67,09162,"München, Landeshauptstadt",null,35
26,83.87,5,16.13,31,0,0,0,0,09163,Rosenheim,null,1
35,89.74,4,10.26,39,0,0,0,0,09171,Altötting,null,3
18,90,2,10,20,0,0,0,0,09172,Berchtesgadener Land,null,3
28,100,0,0,28,0,0,0,0,09173,Bad Tölz-Wolfratshausen,null,2
