GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,current,current_time
Mainz-Bingen,7339,2689.0,,,,2689.0,2689.0,2689.0,2689.0,5476.0,5476.0,5476.0,5476.0,5476.0,5476.0,6565.0,6565.0,6565.0,6565.0,6565.0,6565.0,6565.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266.0,8266,8266,28/02/2021 00:00
Südwestpfalz,7340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Stuttgart,8111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Böblingen,8115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Esslingen,8116,,,,,,,,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340,2340,28/02/2021 00:00
Göppingen,8117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ludwigsburg,8118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rems-Murr-Kreis,8119,2695.0,,,,3520.0,3757.0,3757.0,3757.0,3757.0,3757.0,3775.0,3775.0,4301.0,4544.0,4544.0,4544.0,4544.0,4544.0,5048.0,5184.0,5184.0,5184.0,5184.0,5184.0,5184.0,6469.0,6469.0,6673.0,6673.0,6673.0,7546.0,7546.0,7546.0,7546.0,8593,8593,28/02/2021 00:00
Heilbronn,8121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Heilbronn,8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Hohenlohekreis,8126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Schwäbisch Hall,8127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Main-Tauber-Kreis,8128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Heidenheim,8135,,,,,,,,,,,,,,,,,,,,,,,,,,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535,2535,28/02/2021 00:00
Ostalbkreis,8136,,,,,,,,,,,,,3469.0,3469.0,3469.0,3469.0,3469.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,6218.0,6218.0,6218.0,6218.0,6218.0,6218.0,6218.0,6218.0,8636.0,8636.0,8636.0,8636,8636,27/02/2021 23:59
Baden-Baden,8211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Karlsruhe,8212,,,,,,,,,,,,,,,,,,,,,,,,35812.0,35812.0,35812.0,35812.0,35812.0,35812.0,35812.0,35812.0,35812.0,35812.0,35812.0,35812,35812,28/02/2021 00:00
Karlsruhe,8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rastatt,8216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Heidelberg,8221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Mannheim,8222,15629.0,,,,15629.0,15629.0,15629.0,15629.0,15629.0,15629.0,15629.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,27173.0,37555.0,37555.0,37555.0,37555.0,37555.0,37555.0,37555.0,37555.0,37555,37555,28/02/2021 00:00
Neckar-Odenwald-Kreis,8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rhein-Neckar-Kreis,8226,,,,,,,,,,,,,,,,,,,,,,,,43034.0,43034.0,43034.0,43034.0,43034.0,43034.0,43034.0,43034.0,43034.0,43034.0,43034.0,43034,43034,28/02/2021 00:00
Pforzheim,8231,,,,,,,,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846.0,846,846,28/02/2021 00:00
Calw,8235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/02/2021 00:00
Enzkreis,8236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707.0,2707.0,2707.0,2707.0,2707.0,2707,2707,28/02/2021 00:00
Freudenstadt,8237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Freiburg im Breisgau,8311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Breisgau-Hochschwarzwald,8315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Emmendingen,8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ortenaukreis,8317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rottweil,8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Schwarzwald-Baar-Kreis,8326,,,,,1007.0,1007.0,1007.0,1007.0,1007.0,1007.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,6458.0,6458.0,4518.0,4518.0,4518.0,4518.0,4518.0,9036.0,9036.0,6807.0,6807.0,6807.0,6807.0,6807.0,6807.0,6807,6807,28/02/2021 00:00
Tuttlingen,8327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Konstanz,8335,,,,,,,,,,,,,,,,,,,3274.0,3274.0,3274.0,3274.0,3274.0,4606.0,4606.0,4606.0,4606.0,4606.0,4606.0,5831.0,7001.0,7001.0,7001.0,7001.0,7001,7001,26/02/2021 00:00
Lörrach,8336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Waldshut,8337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Reutlingen,8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Tübingen,8416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Zollernalbkreis,8417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ulm,8421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Alb-Donau-Kreis,8425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Biberach,8426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Bodenseekreis,8435,63.0,,,,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,2078.0,2078.0,2078.0,2294.0,2294.0,2294.0,2294.0,2294.0,2294.0,2294.0,2294.0,2294.0,2294.0,3932.0,4103.0,4145.0,4145.0,4145.0,4145.0,5201.0,5638.0,5638,5638,28/02/2021 00:00
Ravensburg,8436,,,,,,,,,,,,,,,,,,,,,,,,,,,3290.0,3290.0,3290.0,3290.0,3290.0,3290.0,5134.0,5134.0,5134,5134,26/02/2021 00:00
Sigmaringen,8437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ingolstadt,9161,2660.0,,,,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,9320.0,9320.0,9320.0,9320,9320,28/02/2021 00:00
München,9162,,,,,14900.0,14900.0,14900.0,14900.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,19100.0,42500.0,42500.0,42500.0,42500.0,63900.0,63900.0,63900.0,63900.0,63900.0,63900.0,63700.0,63700.0,79900,79900,28/02/2021 00:00
Rosenheim,9163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Altötting,9171,,,,,,,,,,,,4858.0,4858.0,4858.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,10343.0,10343.0,10343.0,10343.0,10343,10343,28/02/2021 00:00
Berchtesgadener Land,9172,1525.0,,,,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525,1525,28/02/2021 00:00
