GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,current,current_time
Passau,9262,2730.0,,,,2730.0,2730.0,2730.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800,12800,23/03/2021 00:00
Straubing,9263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Deggendorf,9271,,,,,,,,,,,,,,,,,5732.0,5812.0,5812.0,5812.0,5812.0,5812.0,5812.0,5812.0,6745.0,6745.0,6745.0,6745.0,7805.0,7805.0,7805.0,8874.0,9129.0,9129.0,9129.0,9517.0,9517.0,10153.0,10605.0,10917.0,10917.0,10917.0,11814.0,12134.0,12445.0,12445.0,12445.0,12445.0,12445.0,13597.0,13864.0,14072.0,14072.0,14408.0,14408.0,14408.0,15447.0,15447.0,16137,16137,24/03/2021 00:00
Freyung-Grafenau,9272,,,,,,,,,,,,,,,,,,,,,,,,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,8176.0,8176.0,9086.0,9086.0,9086.0,9086.0,9086.0,11188.0,11188.0,11585.0,11585.0,11585.0,11585.0,11585.0,12526.0,12526,12526,23/03/2021 00:00
Kelheim,9273,,,,,,,,,,,,,,,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714.0,6714,6714,23/03/2021 00:00
Landshut,9274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Passau,9275,3000.0,,,,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,19492.0,20127.0,20127.0,21210.0,21801.0,21801.0,21801.0,21801.0,23337.0,23337.0,23337.0,24273.0,24273.0,24273,24273,23/03/2021 00:00
Regen,9276,2098.0,,,,2098.0,2098.0,2098.0,2604.0,2657.0,2831.0,2831.0,2831.0,3253.0,3433.0,3433.0,3433.0,3433.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,4756.0,4756.0,4756.0,5244.0,5244.0,5244.0,5244.0,5244.0,6165.0,6386.0,6386.0,6865.0,6865.0,7307.0,7307.0,7307.0,7884.0,8238.0,8238.0,8238.0,8238.0,8238.0,8238.0,10308.0,10308.0,10308.0,10650.0,10650.0,10780.0,10780.0,10780,10780,23/03/2021 00:00
Rottal-Inn,9277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598.0,8598,8598,23/03/2021 00:00
Straubing-Bogen,9278,,,,,,,,,,,,,,,,,,,,,,,,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,19900.0,19900.0,19900.0,19900.0,19900.0,19900.0,19900,19900,23/03/2021 00:00
Dingolfing-Landau,9279,2550.0,,,,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,6773.0,6773.0,6773.0,6773.0,6773.0,6773.0,6773.0,13663.0,13663.0,13663.0,13663.0,13663.0,13663.0,13663,13663,23/03/2021 00:00
Amberg,9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Regensburg,9362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Weiden i.d. OPf.,9363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Amberg-Sulzbach,9371,,,,,,,,,,,,,,,,,,,,,,,,,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,21280.0,21280.0,21280,21280,23/03/2021 00:00
Cham,9372,,,,,4925.0,4925.0,4925.0,4925.0,4925.0,4925.0,4925.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,18833.0,18833.0,18833.0,18833.0,18833.0,18833,18833,23/03/2021 00:00
Neumarkt i.d. OPf.,9373,3040.0,,,,3040.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790.0,13790,13790,23/03/2021 00:00
Neustadt a.d. Waldnaab,9374,,,,,,,,,,,,,,,,,,,,,,,,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,20678.0,20678.0,20678.0,20678.0,20678.0,20678.0,20678,20678,23/03/2021 00:00
Regensburg,9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Schwandorf,9376,3240.0,,,,3240.0,3240.0,3240.0,3240.0,3240.0,5980.0,5980.0,5980.0,5980.0,5980.0,5980.0,5980.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530,7530,23/03/2021 00:00
Tirschenreuth,9377,800.0,,,,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800,23/03/2021 00:00
Bamberg,9461,3194.0,,,,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,,,,,,13386.0,13926.0,14418.0,14427.0,14427.0,14427.0,14427.0,16357.0,16357.0,16357.0,16357.0,16357.0,16357.0,16357.0,16357.0,16357.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,20737.0,28197.0,28197.0,28197.0,28197.0,29186.0,29186.0,29186,29186,23/03/2021 00:00
Bayreuth,9462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
