date	impfstoff	region	dosen	einrichtung
2021-03-09	astra	DE-HH	21600	impfzentren
2021-03-09	astra	DE-HE	72000	impfzentren
2021-03-09	astra	DE-MV	19200	impfzentren
2021-03-09	astra	DE-NI	91200	impfzentren
2021-03-09	astra	DE-NW	206400	impfzentren
2021-03-09	astra	DE-RP	48000	impfzentren
2021-03-09	astra	DE-SL	12000	impfzentren
2021-03-09	astra	DE-SN	48000	impfzentren
2021-03-09	astra	DE-ST	26400	impfzentren
2021-03-09	astra	DE-SH	33600	impfzentren
2021-03-09	astra	DE-TH	24000	impfzentren
2021-03-15	astra	DE-BW	48000	impfzentren
2021-03-15	astra	DE-BY	57600	impfzentren
2021-03-15	astra	DE-BE	16800	impfzentren
2021-03-15	astra	DE-BB	12000	impfzentren
2021-03-15	astra	DE-HB	2400	impfzentren
2021-03-15	astra	DE-HH	7200	impfzentren
2021-03-15	astra	DE-HE	28800	impfzentren
2021-03-15	astra	DE-MV	7200	impfzentren
2021-03-15	astra	DE-NI	36000	impfzentren
2021-03-15	astra	DE-NW	79200	impfzentren
2021-03-15	astra	DE-RP	16800	impfzentren
2021-03-15	astra	DE-SL	4800	impfzentren
2021-03-15	astra	DE-SN	16800	impfzentren
2021-03-15	astra	DE-ST	9600	impfzentren
2021-03-15	astra	DE-SH	12000	impfzentren
2021-03-15	astra	DE-TH	9600	impfzentren
2021-03-16	comirnaty	DE-BW	146250	impfzentren
2021-03-16	comirnaty	DE-BY	175500	impfzentren
2021-03-16	comirnaty	DE-BE	46800	impfzentren
2021-03-16	comirnaty	DE-BB	29250	impfzentren
2021-03-16	comirnaty	DE-HB	11700	impfzentren
2021-03-16	comirnaty	DE-HH	23400	impfzentren
2021-03-16	comirnaty	DE-HE	81900	impfzentren
2021-03-16	comirnaty	DE-MV	17550	impfzentren
2021-03-16	comirnaty	DE-NI	105300	impfzentren
2021-03-16	comirnaty	DE-NW	234000	impfzentren
2021-03-16	comirnaty	DE-RP	52650	impfzentren
2021-03-16	comirnaty	DE-SL	12870	impfzentren
2021-03-16	comirnaty	DE-SN	52650	impfzentren
2021-03-16	comirnaty	DE-ST	29250	impfzentren
2021-03-16	comirnaty	DE-SH	40950	impfzentren
2021-03-16	comirnaty	DE-TH	23400	impfzentren
2021-03-21	moderna	DE-BW	56400	impfzentren
2021-03-21	moderna	DE-BY	67200	impfzentren
2021-03-21	moderna	DE-BE	26400	impfzentren
2021-03-21	moderna	DE-BB	13200	impfzentren
2021-03-21	moderna	DE-HB	3600	impfzentren
2021-03-21	moderna	DE-HH	9600	impfzentren
2021-03-21	moderna	DE-HE	32400	impfzentren
2021-03-21	moderna	DE-MV	8400	impfzentren
2021-03-21	moderna	DE-NI	40800	impfzentren
2021-03-21	moderna	DE-NW	92400	impfzentren
2021-03-21	moderna	DE-RP	20400	impfzentren
2021-03-21	moderna	DE-SL	4800	impfzentren
2021-03-21	moderna	DE-SN	20400	impfzentren
2021-03-21	moderna	DE-ST	10800	impfzentren
2021-03-21	moderna	DE-SH	14400	impfzentren
2021-03-21	moderna	DE-TH	10800	impfzentren
2021-03-23	comirnaty	DE-BW	146250	impfzentren
2021-03-23	comirnaty	DE-BY	169650	impfzentren
2021-03-23	comirnaty	DE-BE	46800	impfzentren
2021-03-23	comirnaty	DE-BB	29250	impfzentren
2021-03-23	comirnaty	DE-HB	5850	impfzentren
2021-03-23	comirnaty	DE-HH	23400	impfzentren
2021-03-23	comirnaty	DE-HE	81900	impfzentren
2021-03-23	comirnaty	DE-MV	23400	impfzentren
2021-03-23	comirnaty	DE-NI	105300	impfzentren
2021-03-23	comirnaty	DE-NW	234000	impfzentren
2021-03-23	comirnaty	DE-RP	52650	impfzentren
2021-03-23	comirnaty	DE-SL	11700	impfzentren
2021-03-23	comirnaty	DE-SN	52650	impfzentren
2021-03-23	comirnaty	DE-ST	29250	impfzentren
2021-03-23	comirnaty	DE-SH	35100	impfzentren
2021-03-23	comirnaty	DE-TH	29250	impfzentren
2021-03-23	astra	DE-BW	26400	impfzentren
2021-03-23	astra	DE-BY	33600	impfzentren
2021-03-23	astra	DE-BE	9600	impfzentren
2021-03-23	astra	DE-BB	7200	impfzentren
2021-03-23	astra	DE-HB	2400	impfzentren
2021-03-23	astra	DE-HH	4800	impfzentren
2021-03-23	astra	DE-HE	14400	impfzentren
2021-03-23	astra	DE-MV	4800	impfzentren
2021-03-23	astra	DE-NI	19200	impfzentren
2021-03-23	astra	DE-NW	43200	impfzentren
2021-03-23	astra	DE-RP	9600	impfzentren
2021-03-23	astra	DE-SL	2400	impfzentren
2021-03-23	astra	DE-SN	9600	impfzentren
2021-03-23	astra	DE-ST	4800	impfzentren
2021-03-23	astra	DE-SH	7200	impfzentren
2021-03-23	astra	DE-TH	4800	impfzentren
2021-03-26	astra	DE-BW	26400	impfzentren
2021-03-26	astra	DE-BY	31200	impfzentren
2021-03-26	astra	DE-BE	9600	impfzentren
2021-03-26	astra	DE-BB	7200	impfzentren
2021-03-26	astra	DE-HB	2400	impfzentren
2021-03-26	astra	DE-HH	4800	impfzentren
2021-03-26	astra	DE-HE	14400	impfzentren
2021-03-26	astra	DE-MV	4800	impfzentren
2021-03-26	astra	DE-NI	19200	impfzentren
2021-03-26	astra	DE-NW	43200	impfzentren
2021-03-26	astra	DE-RP	9600	impfzentren
2021-03-26	astra	DE-SL	2400	impfzentren
2021-03-26	astra	DE-SN	9600	impfzentren
2021-03-26	astra	DE-ST	4800	impfzentren
2021-03-26	astra	DE-SH	7200	impfzentren
2021-03-26	astra	DE-TH	4800	impfzentren
2021-03-30	comirnaty	DE-BW	146250	impfzentren
2021-03-30	comirnaty	DE-BY	169650	impfzentren
2021-03-30	comirnaty	DE-BE	46800	impfzentren
2021-03-30	comirnaty	DE-BB	29250	impfzentren
2021-03-30	comirnaty	DE-HB	11700	impfzentren
2021-03-30	comirnaty	DE-HH	23400	impfzentren
2021-03-30	comirnaty	DE-HE	81900	impfzentren
2021-03-30	comirnaty	DE-MV	17550	impfzentren
2021-03-30	comirnaty	DE-NI	105300	impfzentren
2021-03-30	comirnaty	DE-NW	234000	impfzentren
2021-03-30	comirnaty	DE-RP	52650	impfzentren
2021-03-30	comirnaty	DE-SL	11700	impfzentren
2021-03-30	comirnaty	DE-SN	52650	impfzentren
2021-03-30	comirnaty	DE-ST	29250	impfzentren
2021-03-30	comirnaty	DE-SH	40950	impfzentren
2021-03-30	comirnaty	DE-TH	23400	impfzentren
2021-03-30	comirnaty	DE-BW	0	impfzentren
2021-03-30	comirnaty	DE-BY	105300	impfzentren
2021-03-30	comirnaty	DE-BE	0	impfzentren
2021-03-30	comirnaty	DE-BB	0	impfzentren
2021-03-30	comirnaty	DE-HB	0	impfzentren
2021-03-30	comirnaty	DE-HH	0	impfzentren
2021-03-30	comirnaty	DE-HE	0	impfzentren
2021-03-30	comirnaty	DE-MV	0	impfzentren
2021-03-30	comirnaty	DE-NI	0	impfzentren
2021-03-30	comirnaty	DE-NW	0	impfzentren
2021-03-30	comirnaty	DE-RP	23400	impfzentren
2021-03-30	comirnaty	DE-SL	81900	impfzentren
2021-03-30	comirnaty	DE-SN	93600	impfzentren
2021-03-30	comirnaty	DE-ST	11700	impfzentren
2021-03-30	comirnaty	DE-SH	0	impfzentren
2021-03-30	comirnaty	DE-TH	35100	impfzentren
2021-04-02	moderna	DE-BW	88800	impfzentren
2021-04-02	moderna	DE-BY	103200	impfzentren
2021-04-02	moderna	DE-BE	21600	impfzentren
2021-04-02	moderna	DE-BB	19200	impfzentren
2021-04-02	moderna	DE-HB	4800	impfzentren
2021-04-02	moderna	DE-HH	14400	impfzentren
2021-04-02	moderna	DE-HE	48000	impfzentren
2021-04-02	moderna	DE-MV	13200	impfzentren
2021-04-02	moderna	DE-NI	63600	impfzentren
2021-04-02	moderna	DE-NW	141600	impfzentren
2021-04-02	moderna	DE-RP	32400	impfzentren
2021-04-02	moderna	DE-SL	8400	impfzentren
2021-04-02	moderna	DE-SN	32400	impfzentren
2021-04-02	moderna	DE-ST	18000	impfzentren
2021-04-02	moderna	DE-SH	22800	impfzentren
2021-04-02	moderna	DE-TH	18000	impfzentren
2021-04-03	astra	DE-BW	237600	impfzentren
2021-04-03	astra	DE-BY	285600	impfzentren
2021-04-03	astra	DE-BE	72000	impfzentren
2021-04-03	astra	DE-BB	50400	impfzentren
2021-04-03	astra	DE-HB	14400	impfzentren
